time,open,high,low,close,volume
2024-11-04 09:30:00 EST,244.56,245.32,241.4401,241.6774,3032975
2024-11-04 09:35:00 EST,241.72,241.86,238.88,239.36,2831911
2024-11-04 09:40:00 EST,239.395,241.34,238.9,241.085,2159761
2024-11-04 09:45:00 EST,241.09,242.56,241.06,242.215,1551972
2024-11-04 09:50:00 EST,242.28,243.48,242.0501,243.4343,1214723
2024-11-04 09:55:00 EST,243.44,243.76,242.7,243.66,900637
2024-11-04 10:00:00 EST,243.63,244.48,243.14,243.27,1125777
2024-11-04 10:05:00 EST,243.23,244.24,242.364,243.95,1016771
2024-11-04 10:10:00 EST,243.965,244.29,243.2105,243.6939,654000
2024-11-04 10:15:00 EST,243.685,245.65,243.61,245.1429,1407121
2024-11-04 10:20:00 EST,245.1799,246.5,245.04,246.35,1240166
2024-11-04 10:25:00 EST,246.38,246.92,245.85,246.27,1027473
2024-11-04 10:30:00 EST,246.27,246.33,245.6401,246.18,702511
2024-11-04 10:35:00 EST,246.118268,247.2,246.118268,246.185,873919
2024-11-04 10:40:00 EST,246.16,247.0799,246.02,246.7431,676387
2024-11-04 10:45:00 EST,246.83,247.97,246.31,247.95,872044
2024-11-04 10:50:00 EST,247.9101,248.47,247.71,248.38,856750
2024-11-04 10:55:00 EST,248.38,248.7199,247.9201,248.0999,718710
2024-11-04 11:00:00 EST,248.08,248.5884,247.6,247.6976,677779
2024-11-04 11:05:00 EST,247.69,248.3143,247.4,248.1188,555994
2024-11-04 11:10:00 EST,248.12,248.9,248.1001,248.235,720824
2024-11-04 11:15:00 EST,248.2373,248.44,247.52,247.6928,431859
2024-11-04 11:20:00 EST,247.6955,247.6999,246.2,246.2402,781359
2024-11-04 11:25:00 EST,246.2115,246.3789,245.77,246.02,994478
2024-11-04 11:30:00 EST,246.0069,246.26,245.43,245.864,949859
2024-11-04 11:35:00 EST,245.885,246.12,244.85,244.9511,877370
2024-11-04 11:40:00 EST,244.92,245.39,244.37,244.6701,782024
2024-11-04 11:45:00 EST,244.72,244.9,244.18,244.63,694690
2024-11-04 11:50:00 EST,244.63,244.96,244.22,244.7444,633527
2024-11-04 11:55:00 EST,244.71,245.12,243.93,245.11,907623
2024-11-04 12:00:00 EST,245.09,245.41,244.7,244.78,634160
2024-11-04 12:05:00 EST,244.74,244.91,243.65,243.7551,673624
2024-11-04 12:10:00 EST,243.71,244.3,243.7,244.14,406744
2024-11-04 12:15:00 EST,244.1774,244.33,243.41,243.43,513232
2024-11-04 12:20:00 EST,243.43,244.74,243.41,244.63,774921
2024-11-04 12:25:00 EST,244.69,244.78,244.5,244.588,289484
2024-11-04 12:30:00 EST,244.68,244.88,244.25,244.685,346399
2024-11-04 12:35:00 EST,244.6995,245.18,244.6501,244.8899,459212
2024-11-04 12:40:00 EST,244.89,245.08,244.71,245.0135,205066
2024-11-04 12:45:00 EST,245.04,245.6,244.9701,245.1575,485846
2024-11-04 12:50:00 EST,245.22,245.4399,244.8906,245.41,281758
2024-11-04 12:55:00 EST,245.4034,245.55,245.01,245.065,200598
2024-11-04 13:00:00 EST,245.04,245.556407,244.85,244.9599,376921
2024-11-04 13:05:00 EST,244.9176,244.97,244.2,244.37,374513
2024-11-04 13:10:00 EST,244.41,245.2399,244.33,244.9299,369323
2024-11-04 13:15:00 EST,244.915,245.19,244.3801,244.6063,276142
2024-11-04 13:20:00 EST,244.6,245.17,244.46,245.07,343457
2024-11-04 13:25:00 EST,245.1,245.31,244.71,244.8099,244610
2024-11-04 13:30:00 EST,244.8006,244.8099,244.25,244.51,281103
2024-11-04 13:35:00 EST,244.531,245.2,244.49592,245.01,216617
2024-11-04 13:40:00 EST,245.04,245.29,244.9,245.0644,211948
2024-11-04 13:45:00 EST,245.06,245.1902,244.52,244.83,316311
2024-11-04 13:50:00 EST,244.81,245.1,244.44,244.5382,191559
2024-11-04 13:55:00 EST,244.51,244.6499,244.06,244.14,335371
2024-11-04 14:00:00 EST,244.1799,244.41,243.9,244.0601,315026
2024-11-04 14:05:00 EST,244.1258,244.66,244.06,244.3323,323073
2024-11-04 14:10:00 EST,244.3,244.55,244.0,244.3664,217327
2024-11-04 14:15:00 EST,244.38,244.4999,244.0857,244.424,162085
2024-11-04 14:20:00 EST,244.4162,244.65,244.0701,244.2099,253521
2024-11-04 14:25:00 EST,244.2064,244.544336,243.45,243.725,366381
2024-11-04 14:30:00 EST,243.68,244.5,243.53,244.4054,410643
2024-11-04 14:35:00 EST,244.42,244.67,244.26,244.64,277041
2024-11-04 14:40:00 EST,244.61,244.83,244.4001,244.505,246500
2024-11-04 14:45:00 EST,244.48,244.6599,244.2401,244.4964,163038
2024-11-04 14:50:00 EST,244.48,244.75,244.31,244.465,153677
2024-11-04 14:55:00 EST,244.4752,244.555,244.28,244.29,145331
2024-11-04 15:00:00 EST,244.2845,244.6399,244.05,244.12,332818
2024-11-04 15:05:00 EST,244.1482,244.1696,243.73,243.7801,302617
2024-11-04 15:10:00 EST,243.8,243.8,242.9001,243.0899,686389
2024-11-04 15:15:00 EST,243.02,243.29,242.77,243.23,430489
2024-11-04 15:20:00 EST,243.23,243.4,243.04,243.39,280487
2024-11-04 15:25:00 EST,243.38,243.74,243.32,243.39,376553
2024-11-04 15:30:00 EST,243.38,243.393446,242.45,242.48,637572
2024-11-04 15:35:00 EST,242.49,242.534,241.89,242.0814,679436
2024-11-04 15:40:00 EST,242.0899,242.8,242.0511,242.6825,458340
2024-11-04 15:45:00 EST,242.7046,242.9562,242.55,242.6699,396659
2024-11-04 15:50:00 EST,242.67,243.34,242.51,242.96,534244
2024-11-04 15:55:00 EST,242.98,243.03,242.66,242.8301,780459
2024-11-05 09:30:00 EST,247.33,249.41,246.2101,249.2226,2561166
2024-11-05 09:35:00 EST,249.1802,252.7999,248.95,252.38,2822855
2024-11-05 09:40:00 EST,252.4,253.15,251.11,252.574,2347521
2024-11-05 09:45:00 EST,252.59,252.9,251.56,252.13,1192230
2024-11-05 09:50:00 EST,252.14,253.22,251.32,251.712,1515985
2024-11-05 09:55:00 EST,251.75,252.48,250.6,251.2899,1310165
2024-11-05 10:00:00 EST,251.29,252.2,250.9001,251.84,1020872
2024-11-05 10:05:00 EST,251.88,253.37,251.83,253.2961,1279534
2024-11-05 10:10:00 EST,253.3,253.4999,251.55,252.17,1076871
2024-11-05 10:15:00 EST,252.16,252.44,251.61,252.17,686063
2024-11-05 10:20:00 EST,252.18,252.3446,250.81,250.96,1213503
2024-11-05 10:25:00 EST,250.99,251.1999,250.27,251.123,1088893
2024-11-05 10:30:00 EST,251.1794,251.27,250.36,251.08,705228
2024-11-05 10:35:00 EST,251.0482,251.23,250.3801,250.94,605063
2024-11-05 10:40:00 EST,250.9364,252.1,250.6501,252.0854,741922
2024-11-05 10:45:00 EST,252.1,252.2774,251.62,251.9809,483965
2024-11-05 10:50:00 EST,251.98,252.0475,251.03,251.255,444663
2024-11-05 10:55:00 EST,251.255,251.2572,250.575,251.07,435303
2024-11-05 11:00:00 EST,251.05,251.0948,250.45,250.9538,370749
2024-11-05 11:05:00 EST,250.95,251.32,250.64,250.78,366941
2024-11-05 11:10:00 EST,250.8248,251.7,250.75,251.58,428357
2024-11-05 11:15:00 EST,251.6091,251.66,251.3,251.46,309437
2024-11-05 11:20:00 EST,251.5,252.14,251.12,252.035,489603
2024-11-05 11:25:00 EST,252.04,252.1851,251.8003,251.95,285456
2024-11-05 11:30:00 EST,251.95,252.7927,251.85,252.74,540412
2024-11-05 11:35:00 EST,252.69,253.374,252.62,253.15,616363
2024-11-05 11:40:00 EST,253.1401,253.475,252.62,253.4699,579970
2024-11-05 11:45:00 EST,253.4799,253.69,253.03,253.05,605169
2024-11-05 11:50:00 EST,253.05,253.1099,252.6,252.7804,454817
2024-11-05 11:55:00 EST,252.78,253.1,252.45,253.059,403727
2024-11-05 12:00:00 EST,253.04,253.19,252.64,253.0855,344265
2024-11-05 12:05:00 EST,253.08,253.37,252.43,252.52,424230
2024-11-05 12:10:00 EST,252.54,253.61,252.54,253.558,401829
2024-11-05 12:15:00 EST,253.5734,253.98,253.15,253.65,712544
2024-11-05 12:20:00 EST,253.7199,254.7,253.581,254.437,773414
2024-11-05 12:25:00 EST,254.41,254.71,254.14,254.524,421497
2024-11-05 12:30:00 EST,254.51,254.6,254.2,254.352,302687
2024-11-05 12:35:00 EST,254.36,254.63,253.9201,254.045,378087
2024-11-05 12:40:00 EST,254.0696,254.4199,253.85,254.3801,286999
2024-11-05 12:45:00 EST,254.41,254.93,254.35,254.91,482879
2024-11-05 12:50:00 EST,254.885,254.93,254.5301,254.68,300132
2024-11-05 12:55:00 EST,254.67,254.7077,254.21,254.48,288648
2024-11-05 13:00:00 EST,254.4732,254.6,254.14,254.5,270384
2024-11-05 13:05:00 EST,254.545,254.9,254.3601,254.71,296016
2024-11-05 13:10:00 EST,254.74,254.74,253.93,254.11,367995
2024-11-05 13:15:00 EST,254.1244,254.64,254.065,254.48,248897
2024-11-05 13:20:00 EST,254.5,254.7,254.2937,254.52,223912
2024-11-05 13:25:00 EST,254.5106,254.5106,254.0919,254.15,196086
2024-11-05 13:30:00 EST,254.18,254.42,253.96,254.04,325475
2024-11-05 13:35:00 EST,254.07685,254.083144,253.65,253.8,435212
2024-11-05 13:40:00 EST,253.815,254.52,253.4401,254.48,485002
2024-11-05 13:45:00 EST,254.4953,254.88,254.45,254.57,433708
2024-11-05 13:50:00 EST,254.56,254.83,254.4001,254.8,277690
2024-11-05 13:55:00 EST,254.8,255.19,254.6001,254.9082,524132
2024-11-05 14:00:00 EST,254.9234,255.2799,254.77,254.9501,472734
2024-11-05 14:05:00 EST,254.975,255.0,254.44,254.6199,354734
2024-11-05 14:10:00 EST,254.62,254.68,254.27,254.47,337117
2024-11-05 14:15:00 EST,254.46,254.46,254.2101,254.29,200803
2024-11-05 14:20:00 EST,254.3,254.45,254.18,254.325,209152
2024-11-05 14:25:00 EST,254.36,254.8657,254.3438,254.4,354302
2024-11-05 14:30:00 EST,254.4,254.4347,253.93,254.035,343333
2024-11-05 14:35:00 EST,254.0193,254.38,253.8303,254.22,326257
2024-11-05 14:40:00 EST,254.23,254.5796,254.21,254.42,257528
2024-11-05 14:45:00 EST,254.4494,254.48,254.01,254.03,213215
2024-11-05 14:50:00 EST,254.0437,254.0437,252.73,252.7505,678595
2024-11-05 14:55:00 EST,252.75,252.8499,251.61,251.8142,979112
2024-11-05 15:00:00 EST,251.8,252.48,251.37,251.9255,851999
2024-11-05 15:05:00 EST,251.99,252.71,251.95,252.6701,515206
2024-11-05 15:10:00 EST,252.675,253.08,252.6,252.7834,463742
2024-11-05 15:15:00 EST,252.75,252.76,252.38,252.54,292088
2024-11-05 15:20:00 EST,252.55,252.5999,251.68,251.8097,407683
2024-11-05 15:25:00 EST,251.83,252.29,251.58,252.2,441654
2024-11-05 15:30:00 EST,252.2,253.1199,252.0301,253.04,630738
2024-11-05 15:35:00 EST,253.035,253.18,252.7056,252.85,361182
2024-11-05 15:40:00 EST,252.85,252.88,252.1601,252.28,418211
2024-11-05 15:45:00 EST,252.26,252.3,251.56,251.844658,577148
2024-11-05 15:50:00 EST,251.8,251.9,251.4201,251.5833,505612
2024-11-05 15:55:00 EST,251.6,251.68,250.83,251.5,1384251
2024-11-06 09:30:00 EST,284.67,289.31,281.4488,287.9096,11653870
2024-11-06 09:35:00 EST,287.9,289.59,285.6032,287.86,5744643
2024-11-06 09:40:00 EST,287.9,289.05,286.37,286.8675,3387788
2024-11-06 09:45:00 EST,286.86,287.1299,282.12,283.1941,4387183
2024-11-06 09:50:00 EST,283.11,284.7499,278.97,279.25,4376819
2024-11-06 09:55:00 EST,279.38,280.68,275.62,278.93,4257335
2024-11-06 10:00:00 EST,278.96,279.8,276.4001,278.02,2792582
2024-11-06 10:05:00 EST,278.0823,279.65,276.6601,279.2499,2169743
2024-11-06 10:10:00 EST,279.14,282.7,278.8001,281.9499,3116032
2024-11-06 10:15:00 EST,281.846,282.23,280.11,281.6501,1435130
2024-11-06 10:20:00 EST,281.62,281.95,279.5401,280.3747,1410802
2024-11-06 10:25:00 EST,280.34,281.5,280.05,281.218,1161054
2024-11-06 10:30:00 EST,281.32,282.37,280.15,280.85,1636558
2024-11-06 10:35:00 EST,280.83,281.4,279.8,280.328,1096636
2024-11-06 10:40:00 EST,280.375,281.51,280.1,281.28,939832
2024-11-06 10:45:00 EST,281.2025,282.8,280.73,282.7196,1249493
2024-11-06 10:50:00 EST,282.71,283.7,282.04,283.675,1542727
2024-11-06 10:55:00 EST,283.675,284.6699,283.24,283.765,1722646
2024-11-06 11:00:00 EST,283.64,283.7,282.66,283.5678,888981
2024-11-06 11:05:00 EST,283.59,284.6,283.39,284.3299,1088985
2024-11-06 11:10:00 EST,284.315,285.38,284.25,285.36,1748020
