time,open,high,low,close,volume
2024-11-04 09:30:00 EST,137.25,137.75,136.5501,136.56,8612705
2024-11-04 09:35:00 EST,136.56,136.8,135.57,136.6109,6348578
2024-11-04 09:40:00 EST,136.6123,137.97,136.55,137.8601,5368440
2024-11-04 09:45:00 EST,137.86,138.0,137.386,137.8302,4433030
2024-11-04 09:50:00 EST,137.85,137.93,137.04,137.4371,3484111
2024-11-04 09:55:00 EST,137.445,137.65,136.96,137.36,3037741
2024-11-04 10:00:00 EST,137.36,137.42,136.72,136.885,3511015
2024-11-04 10:05:00 EST,136.9,137.3794,136.825,137.1,2272404
2024-11-04 10:10:00 EST,137.085,137.25,136.675,136.85,2402613
2024-11-04 10:15:00 EST,136.808753,137.51,136.53,137.4301,3052435
2024-11-04 10:20:00 EST,137.435,137.84,136.93,137.7878,2886609
2024-11-04 10:25:00 EST,137.775,137.84,137.45,137.82,2113858
2024-11-04 10:30:00 EST,137.81,137.9,137.4,137.5601,2086023
2024-11-04 10:35:00 EST,137.56,137.75,137.23,137.2773,1533895
2024-11-04 10:40:00 EST,137.2701,137.63,137.21,137.5,1474316
2024-11-04 10:45:00 EST,137.493348,137.75,137.37,137.74,1669206
2024-11-04 10:50:00 EST,137.75,137.93,137.59,137.78,1455718
2024-11-04 10:55:00 EST,137.7792,137.92,137.6677,137.72,1447185
2024-11-04 11:00:00 EST,137.724,138.2,137.7,138.11,2894789
2024-11-04 11:05:00 EST,138.12,138.39,138.05,138.3725,2175995
2024-11-04 11:10:00 EST,138.3719,138.96,138.32,138.785,3287847
2024-11-04 11:15:00 EST,138.7884,138.83,138.42,138.5662,2272823
2024-11-04 11:20:00 EST,138.565,138.69,138.26,138.305,1628130
2024-11-04 11:25:00 EST,138.305,138.6379,138.27,138.6061,1435438
2024-11-04 11:30:00 EST,138.61,138.73,138.32,138.4492,1514703
2024-11-04 11:35:00 EST,138.44,138.56,138.02,138.0214,1676346
2024-11-04 11:40:00 EST,138.02,138.08,137.81,138.052,2186488
2024-11-04 11:45:00 EST,138.07,138.0999,137.7303,137.8201,1544789
2024-11-04 11:50:00 EST,137.82,137.89,137.63,137.7092,1264043
2024-11-04 11:55:00 EST,137.7,137.86,137.555,137.8127,1690945
2024-11-04 12:00:00 EST,137.8382,137.99,137.51,137.5783,1925998
2024-11-04 12:05:00 EST,137.5706,137.5787,137.15,137.24,2268067
2024-11-04 12:10:00 EST,137.2413,137.6,137.22,137.4708,1512571
2024-11-04 12:15:00 EST,137.475,137.64,137.03,137.165,1653060
2024-11-04 12:20:00 EST,137.16,137.63,137.12,137.63,1511390
2024-11-04 12:25:00 EST,137.629,137.77,137.5601,137.752,1274928
2024-11-04 12:30:00 EST,137.7599,137.795,137.52,137.75,1197311
2024-11-04 12:35:00 EST,137.75,137.915,137.64,137.7001,1313578
2024-11-04 12:40:00 EST,137.71,137.85,137.6,137.81,896609
2024-11-04 12:45:00 EST,137.815,138.04,137.73,138.006678,1277154
2024-11-04 12:50:00 EST,138.01,138.08,137.88,137.995,1071273
2024-11-04 12:55:00 EST,137.99,138.04,137.7601,137.7762,887355
2024-11-04 13:00:00 EST,137.77,137.9899,137.67,137.745,884434
2024-11-04 13:05:00 EST,137.75,137.7799,137.32,137.465,1376342
2024-11-04 13:10:00 EST,137.47,137.89,137.42,137.77,1292151
2024-11-04 13:15:00 EST,137.775,137.92,137.66,137.7391,1097758
2024-11-04 13:20:00 EST,137.73,138.07,137.64,137.955,1397026
